mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
d83add07f794,1717567961.963319,(-30+28j),(-13+13j),(2+16j),(5-13j),(-154-377j),(-284-338j),(-400-261j),(-474-46j),(-471+157j),(-375+322j),(-251+433j),(-119+480j),(22+504j),(153+497j),(275+462j),(398+413j),(503+316j),(592+213j),(690+98j),(737-59j),(748-219j),(693-403j),(621-566j),(511-721j),(382-855j),(171-946j),(-18-973j),(-258-942j),(-483-802j),(-676-618j),(-759-300j),(-516+74j),(5+10j),(40-534j),(-316-734j),(-605-632j),(-765-415j),(-854-229j),(-872-32j),(-817+178j),(-738+305j),(-585+423j),(-467+508j),(-329+549j),(-209+577j),(-95+571j),(14+537j),(115+471j),(191+403j),(264+351j),(310+272j),(354+197j),(392+102j),(404-11j),(393-136j),(330-261j),(204-378j),(14-407j),(-186-357j),(-263-265j),(10277+0j),(-11520-32640j),(128+0j),(20+17j)
d83add07f794,1717567962.065472,(-30+28j),(-13+13j),(2+16j),(5-13j),(5-13j),(451-178j),(343-333j),(131-457j),(-115-480j),(-301-382j),(-429-247j),(-480-96j),(-493+67j),(-463+222j),(-392+357j),(-283+492j),(-145+563j),(15+616j),(203+654j),(389+613j),(568+513j),(710+357j),(810+163j),(862-63j),(859-319j),(747-541j),(596-746j),(349-891j),(71-908j),(-251-855j),(-511-603j),(-479-159j),(5+10j),(214-472j),(-106-768j),(-437-724j),(-645-534j),(-796-319j),(-840-81j),(-788+146j),(-709+322j),(-544+439j),(-403+535j),(-237+578j),(-75+596j),(70+569j),(193+496j),(266+396j),(340+289j),(400+189j),(408+81j),(405-33j),(376-154j),(306-273j),(191-375j),(33-417j),(-160-401j),(-318-272j),(-406-65j),(-416+98j),(10277+0j),(-11520-32640j),(128+0j),(20+17j)
d83add07f794,1717567962.167821,(-30+28j),(-13+13j),(2+16j),(5-13j),(444-300j),(350-397j),(246-471j),(13-530j),(-180-487j),(-344-395j),(-449-267j),(-522-123j),(-556+10j),(-546+149j),(-522+265j),(-464+362j),(-405+502j),(-317+596j),(-226+678j),(-99+736j),(42+788j),(221+823j),(392+813j),(552+743j),(673+648j),(813+520j),(903+358j),(962+159j),(983-85j),(861-291j),(631-495j),(212-506j),(5+10j),(443+353j),(763+172j),(864-91j),(845-345j),(731-488j),(590-615j),(447-692j),(301-722j),(140-750j),(7-727j),(-101-665j),(-176-575j),(-251-506j),(-308-426j),(-365-351j),(-398-258j),(-393-180j),(-428-101j),(-428-12j),(-416+85j),(-377+174j),(-323+262j),(-231+353j),(-89+415j),(111+422j),(299+321j),(379+245j),(10277+0j),(-11264-32640j),(128+0j),(20+17j)
d83add07f794,1717567962.270591,(-30+28j),(-13+13j),(2+16j),(5-13j),(-505-149j),(-498+64j),(-424+248j),(-241+433j),(4+502j),(211+456j),(377+345j),(468+214j),(524+54j),(531-111j),(491-257j),(410-419j),(317-535j),(168-636j),(-23-718j),(-218-721j),(-432-676j),(-604-587j),(-775-434j),(-891-217j),(-971+52j),(-934+297j),(-835+572j),(-633+780j),(-389+899j),(-41+954j),(316+778j),(433+339j),(5+10j),(-392+395j),(-171+802j),(181+884j),(440+793j),(682+611j),(808+381j),(827+163j),(824-61j),(725-215j),(620-374j),(485-469j),(311-550j),(161-574j),(16-555j),(-81-506j),(-195-443j),(-306-341j),(-355-270j),(-406-159j),(-439-35j),(-425+111j),(-352+264j),(-228+390j),(-40+460j),(165+425j),(369+271j),(459+117j),(10277+0j),(-11264-32640j),(128+0j),(20+17j)
d83add07f794,1717567962.371726,(-30+28j),(-13+13j),(2+16j),(5-13j),(-419+96j),(-404+217j),(-356+331j),(-166+473j),(34+468j),(212+434j),(335+341j),(442+230j),(507+105j),(535-29j),(529-155j),(480-260j),(454-410j),(378-525j),(281-619j),(155-702j),(-4-770j),(-192-803j),(-382-807j),(-556-714j),(-705-604j),(-842-462j),(-927-249j),(-964-26j),(-947+218j),(-788+442j),(-512+614j),(-94+542j),(5+10j),(-517-220j),(-765+70j),(-783+366j),(-667+602j),(-495+726j),(-300+794j),(-130+819j),(41+779j),(205+741j),(315+650j),(413+551j),(454+417j),(489+300j),(510+190j),(510+86j),(497-22j),(422-105j),(412-206j),(342-284j),(263-353j),(149-401j),(32-423j),(-112-409j),(-266-342j),(-408-203j),(-454+24j),(-414+133j),(10277+0j),(-11264-32640j),(128+0j),(20+17j)
d83add07f794,1717567962.475134,(-30+28j),(-13+13j),(2+16j),(5-13j),(-487+63j),(-445+182j),(-384+283j),(-236+424j),(-68+485j),(102+479j),(245+435j),(349+351j),(442+256j),(504+162j),(546+59j),(567-47j),(577-183j),(564-304j),(568-426j),(504-559j),(424-676j),(274-772j),(140-867j),(-11-901j),(-171-941j),(-356-902j),(-511-844j),(-686-717j),(-811-500j),(-873-286j),(-815+13j),(-466+265j),(5+10j),(-128-532j),(-489-618j),(-733-482j),(-836-252j),(-875-99j),(-861+70j),(-802+233j),(-717+324j),(-587+442j),(-478+494j),(-372+531j),(-287+548j),(-193+555j),(-100+544j),(7+499j),(85+468j),(143+433j),(219+387j),(286+332j),(348+264j),(408+169j),(449+67j),(454-75j),(402-240j),(256-393j),(49-465j),(-83-475j),(10277+0j),(-11264-32640j),(128+0j),(20+17j)
d83add07f794,1717567962.577653,(-30+28j),(-13+13j),(2+16j),(5-13j),(452+226j),(478+71j),(469-75j),(398-265j),(274-418j),(123-488j),(-18-513j),(-134-493j),(-253-469j),(-357-412j),(-443-350j),(-539-260j),(-601-184j),(-655-76j),(-730+49j),(-747+180j),(-748+320j),(-712+442j),(-664+587j),(-573+717j),(-448+860j),(-299+931j),(-126+990j),(57+982j),(235+918j),(448+814j),(592+555j),(495+159j),(5+10j),(-315+421j),(-136+767j),(101+846j),(277+801j),(453+734j),(566+635j),(619+506j),(675+395j),(645+280j),(655+181j),(635+98j),(615-15j),(580-91j),(528-166j),(468-203j),(407-257j),(349-329j),(293-355j),(215-402j),(130-440j),(17-465j),(-113-463j),(-248-407j),(-383-307j),(-458-136j),(-471+89j),(-437+231j),(10277+0j),(-11264-32640j),(128+0j),(20+17j)
d83add07f794,1717567962.680219,(-30+28j),(-13+13j),(2+16j),(5-13j),(303-360j),(110-452j),(-92-463j),(-312-366j),(-447-201j),(-498-9j),(-465+171j),(-389+302j),(-282+417j),(-154+494j),(-24+534j),(131+553j),(278+523j),(422+456j),(576+388j),(696+249j),(779+84j),(789-115j),(782-319j),(693-515j),(597-723j),(396-857j),(186-953j),(-74-960j),(-335-848j),(-565-697j),(-701-379j),(-509+29j),(5+10j),(56-522j),(-298-704j),(-597-606j),(-740-372j),(-842-174j),(-841+42j),(-764+251j),(-680+394j),(-513+494j),(-376+565j),(-230+600j),(-94+620j),(44+598j),(161+544j),(257+445j),(342+349j),(410+256j),(432+142j),(445+16j),(432-108j),(381-235j),(292-365j),(128-446j),(-74-469j),(-281-366j),(-432-154j),(-459+48j),(10277+0j),(-11520-32640j),(128+0j),(20+17j)
d83add07f794,1717567962.781569,(-30+28j),(-13+13j),(2+16j),(5-13j),(-233+423j),(-40+464j),(140+444j),(340+309j),(447+151j),(469-44j),(428-215j),(328-339j),(202-436j),(67-495j),(-72-509j),(-210-508j),(-364-451j),(-499-359j),(-619-261j),(-704-100j),(-752+85j),(-737+303j),(-667+512j),(-535+695j),(-377+851j),(-136+939j),(105+964j),(366+887j),(625+702j),(785+464j),(791+104j),(467-231j),(5+10j),(166+505j),(566+519j),(801+288j),(860-16j),(839-236j),(720-439j),(547-593j),(386-677j),(168-692j),(-4-686j),(-150-625j),(-262-550j),(-359-451j),(-428-326j),(-459-196j),(-464-65j),(-453+40j),(-407+156j),(-340+263j),(-249+340j),(-132+401j),(1+430j),(172+403j),(334+293j),(430+87j),(403-159j),(311-323j),(10277+0j),(-11520-32640j),(128+0j),(20+17j)
d83add07f794,1717567962.884725,(-30+28j),(-13+13j),(2+16j),(5-13j),(-374-373j),(-505-128j),(-501+144j),(-331+407j),(-70+502j),(183+474j),(388+337j),(507+138j),(540-75j),(478-283j),(357-444j),(176-547j),(-39-630j),(-264-597j),(-466-513j),(-639-339j),(-757-115j),(-818+172j),(-749+462j),(-565+720j),(-302+863j),(12+938j),(338+891j),(633+701j),(873+400j),(884+12j),(682-351j),(219-478j),(5+10j),(490+209j),(721-158j),(624-511j),(372-767j),(72-802j),(-216-754j),(-434-620j),(-580-418j),(-671-193j),(-666+33j),(-580+218j),(-427+335j),(-292+427j),(-137+461j),(13+476j),(165+419j),(260+315j),(362+214j),(402+74j),(408-77j),(335-224j),(226-341j),(39-416j),(-187-392j),(-386-219j),(-442+58j),(-351+287j),(10277+0j),(-11520-32640j),(128+0j),(20+17j)
