mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
d83add07f794,1717568534.454802,(-30+28j),(-13+13j),(2+16j),(5-13j),(601-237j),(430-449j),(210-574j),(-139-607j),(-435-487j),(-604-241j),(-662+25j),(-601+274j),(-475+470j),(-303+622j),(-95+699j),(123+730j),(347+675j),(541+566j),(728+435j),(848+228j),(903-15j),(870-279j),(791-507j),(635-701j),(465-873j),(221-942j),(-40-979j),(-309-914j),(-544-732j),(-704-514j),(-741-171j),(-453+161j),(5+10j),(-89-471j),(-436-535j),(-654-369j),(-726-126j),(-752+49j),(-698+229j),(-585+358j),(-490+481j),(-318+540j),(-194+580j),(-68+576j),(46+574j),(168+532j),(276+458j),(356+337j),(410+233j),(449+132j),(447+8j),(431-121j),(377-239j),(284-356j),(156-450j),(-27-483j),(-236-439j),(-401-270j),(-490-16j),(-479+182j),(10277+0j),(-11264-32640j),(128+0j),(20+17j)
d83add07f794,1717568534.557115,(-30+28j),(-13+13j),(2+16j),(5-13j),(-578+181j),(-472+391j),(-308+542j),(19+634j),(325+536j),(528+355j),(627+138j),(648-90j),(597-290j),(493-475j),(338-608j),(142-693j),(-45-752j),(-251-728j),(-459-679j),(-640-556j),(-783-401j),(-860-210j),(-916-6j),(-899+221j),(-838+454j),(-715+636j),(-535+796j),(-305+888j),(-71+888j),(206+824j),(441+597j),(424+202j),(5+10j),(-282+366j),(-80+662j),(164+710j),(331+626j),(502+526j),(589+378j),(623+260j),(642+102j),(588+0j),(569-107j),(510-203j),(429-314j),(347-375j),(249-414j),(172-414j),(76-422j),(-43-418j),(-113-398j),(-202-357j),(-296-292j),(-365-173j),(-423-45j),(-409+109j),(-349+273j),(-214+400j),(17+454j),(163+385j),(10277+0j),(-11264-32640j),(128+0j),(20+17j)
d83add07f794,1717568534.659354,(-30+28j),(-13+13j),(2+16j),(5-13j),(235-606j),(60-626j),(-106-602j),(-373-486j),(-538-277j),(-600-50j),(-604+153j),(-544+327j),(-459+485j),(-324+594j),(-182+679j),(-3+702j),(166+733j),(333+704j),(333+704j),(626+549j),(742+428j),(853+302j),(913+143j),(943-36j),(897-224j),(868-388j),(763-537j),(627-671j),(469-784j),(209-808j),(-56-713j),(-234-417j),(5+10j),(458-90j),(507-418j),(390-584j),(284-686j),(110-683j),(-10-682j),(-111-663j),(-193-600j),(-254-574j),(-326-514j),(-326-514j),(-410-325j),(-438-262j),(-445-183j),(-469-142j),(-464-55j),(-434+43j),(-440+108j),(-414+198j),(-372+295j),(-271+363j),(-159+427j),(-14+469j),(162+452j),(350+375j),(491+174j),(537+63j),(10277+0j),(-11264-32640j),(128+0j),(20+17j)
d83add07f794,1717568534.762102,(-30+28j),(-13+13j),(2+16j),(5-13j),(556+100j),(586-60j),(573-221j),(397-482j),(166-605j),(-91-626j),(-315-563j),(-488-441j),(-630-270j),(-692-79j),(-710+97j),(-672+264j),(-613+460j),(-503+614j),(-382+731j),(-215+824j),(-22+873j),(188+891j),(391+868j),(568+767j),(689+641j),(826+483j),(891+294j),(916+83j),(901-151j),(759-338j),(512-493j),(139-456j),(5+10j),(395+250j),(636+71j),(678-143j),(653-347j),(542-423j),(431-510j),(320-571j),(216-581j),(102-609j),-602j,(-87-561j),(-146-495j),(-209-448j),(-277-389j),(-349-328j),(-391-241j),(-393-173j),(-438-75j),(-442+33j),(-427+140j),(-385+235j),(-309+329j),(-191+432j),(-23+486j),(214+459j),(418+298j),(459+184j),(10277+0j),(-11264-32640j),(128+0j),(20+17j)
d83add07f794,1717568534.864676,(-30+28j),(-13+13j),(2+16j),(5-13j),(126+674j),(353+554j),(513+370j),(644+28j),(548-303j),(339-528j),(92-631j),(-152-630j),(-393-563j),(-581-399j),(-686-193j),(-702+55j),(-709+285j),(-605+510j),(-441+702j),(-219+822j),(27+886j),(272+870j),(522+795j),(729+607j),(892+369j),(954+107j),(937-167j),(825-431j),(651-633j),(340-771j),(-8-725j),(-242-413j),(5+10j),(425-189j),(352-544j),(124-699j),(-74-721j),(-295-638j),(-440-517j),(-531-388j),(-584-230j),(-593-120j),(-587+27j),(-548+147j),(-436+275j),(-348+357j),(-250+411j),(-162+447j),(-35+472j),(102+410j),(205+406j),(321+328j),(404+210j),(446+61j),(428-120j),(358-287j),(200-429j),(-27-501j),(-303-414j),(-437-314j),(10277+0j),(-11264-32640j),(128+0j),(20+17j)
d83add07f794,1717568534.966979,(-30+28j),(-13+13j),(2+16j),(5-13j),(-452+453j),(-232+576j),(7+609j),(336+518j),(554+303j),(633+22j),(601-241j),(467-454j),(270-610j),(55-682j),(-169-679j),(-368-614j),(-584-484j),(-724-293j),(-822-101j),(-848+138j),(-805+374j),(-685+631j),(-500+815j),(-269+940j),(-33+977j),(252+952j),(486+856j),(707+661j),(881+380j),(872+76j),(719-242j),(304-398j),(5+10j),(350+348j),(655+186j),(721-84j),(676-349j),(549-469j),(397-572j),(212-627j),(81-626j),(-95-607j),(-222-546j),(-319-456j),(-360-365j),(-413-263j),(-441-158j),(-451-25j),(-420+89j),(-382+159j),(-315+263j),(-232+340j),(-113+395j),(14+431j),(148+405j),(299+321j),(423+162j),(450-75j),(337-303j),(216-433j),(10277+0j),(-11264-32640j),(128+0j),(20+17j)
d83add07f794,1717568535.069216,(-30+28j),(-13+13j),(2+16j),(5-13j),(485+288j),(586+135j),(631-50j),(542-358j),(338-544j),(84-643j),(-147-638j),(-364-563j),(-537-431j),(-652-266j),(-715-84j),(-714+85j),(-707+305j),(-636+485j),(-552+632j),(-402+765j),(-234+870j),(-2+925j),(203+953j),(403+883j),(569+797j),(739+645j),(852+481j),(935+260j),(960-5j),(846-228j),(619-450j),(211-472j),(5+10j),(407+315j),(687+137j),(766-107j),(734-343j),(621-459j),(492-561j),(347-633j),(236-654j),(72-681j),(-46-653j),(-153-598j),(-216-528j),(-293-460j),(-360-378j),(-419-273j),(-454-167j),(-429-94j),(-455+21j),(-430+129j),(-382+235j),(-310+315j),(-217+386j),(-75+437j),(105+451j),(304+359j),(445+169j),(439+38j),(10277+0j),(-11264-32640j),(128+0j),(20+17j)
d83add07f794,1717568535.171535,(-30+28j),(-13+13j),(2+16j),(5-13j),(-486+413j),(-346+520j),(-189+586j),(99+615j),(336+525j),(507+364j),(615+186j),(667+0j),(658-197j),(604-365j),(520-509j),(396-616j),(251-750j),(91-816j),(-67-848j),(-240-845j),(-414-811j),(-614-754j),(-769-654j),(-897-496j),(-950-325j),(-1016-138j),(-1017+50j),(-959+249j),(-888+471j),(-665+616j),(-374+686j),(-14+528j),(5+10j),(-487-173j),(-707+91j),(-705+315j),(-646+507j),(-497+577j),(-378+642j),(-252+685j),(-147+669j),(-42+680j),(57+665j),(137+613j),(206+514j),(261+455j),(312+389j),(373+339j),(404+256j),(397+169j),(441+95j),(444+6j),(435-91j),(398-183j),(332-265j),(240-359j),(99-429j),(-96-455j),(-293-366j),(-387-300j),(10277+0j),(-11264-32640j),(128+0j),(20+17j)
d83add07f794,1717568535.275731,(-30+28j),(-13+13j),(2+16j),(5-13j),(-383+524j),(-227+599j),(-62+629j),(245+597j),(461+432j),(594+219j),(653+13j),(647-181j),(596-380j),(485-536j),(354-660j),(184-724j),(7-799j),(-175-818j),(-359-792j),(-537-718j),(-699-607j),(-846-483j),(-952-319j),(-1014-123j),(-1004+91j),(-990+286j),(-887+477j),(-752+643j),(-594+776j),(-326+834j),(-28+771j),(210+471j),(5+10j),(-499+65j),(-568+402j),(-441+599j),(-323+707j),(-142+721j),(-5+707j),(102+694j),(194+611j),(262+587j),(327+520j),(371+449j),(401+328j),(429+260j),(445+178j),(464+130j),(463+44j),(415-48j),(434-121j),(392-203j),(341-292j),(248-367j),(136-410j),(1-443j),(-155-421j),(-341-345j),(-467-146j),(-498-47j),(10277+0j),(-11264-32640j),(128+0j),(20+17j)
d83add07f794,1717568535.378298,(-30+28j),(-13+13j),(2+16j),(5-13j),(-141-586j),(-362-483j),(-520-321j),(-632-1j),(-562+269j),(-393+493j),(-178+616j),(58+662j),(297+611j),(489+503j),(627+351j),(700+171j),(771-49j),(756-270j),(696-462j),(579-651j),(406-809j),(176-925j),(-61-979j),(-303-937j),(-504-840j),(-719-689j),(-856-485j),(-941-247j),(-968+40j),(-828+290j),(-565+512j),(-144+492j),(5+10j),(-456-233j),(-692+18j),(-691+284j),(-598+516j),(-436+602j),(-260+656j),(-94+681j),(42+647j),(191+620j),(294+547j),(368+454j),(398+347j),(444+250j),(462+143j),(479+24j),(457-83j),(394-158j),(345-269j),(259-348j),(153-404j),(30-427j),(-102-417j),(-242-344j),(-367-233j),(-446-16j),(-394+217j),(-272+352j),(10277+0j),(-11264-32640j),(128+0j),(20+17j)
d83add07f794,1717568535.480197,(-30+28j),(-13+13j),(2+16j),(5-13j),(-92-540j),(-251-505j),(-397-427j),(-559-185j),(-604+89j),(-528+317j),(-391+487j),(-227+579j),(-55+639j),(125+647j),(292+610j),(465+542j),(590+445j),(706+306j),(815+147j),(863-37j),(869-231j),(811-410j),(731-579j),(613-735j),(459-881j),(286-946j),(64-997j),(-153-976j),(-365-862j),(-553-706j),(-675-416j),(-493-32j),(5+10j),(161-471j),(-105-724j),(-358-706j),(-508-572j),(-643-460j),(-705-315j),(-699-183j),(-710-48j),(-628+64j),(-597+149j),(-535+221j),(-481+318j),(-405+374j),(-315+420j),(-234+422j),(-141+433j),(-44+468j),(31+438j),(137+418j),(239+374j),(333+294j),(425+193j),(466+40j),(455-141j),(361-298j),(172-430j),(68-429j),(10277+0j),(-11264-32640j),(128+0j),(20+17j)
d83add07f794,1717568535.582606,(-30+28j),(-13+13j),(2+16j),(5-13j),(201+490j),(340+428j),(459+327j),(572+71j),(566-193j),(452-403j),(295-532j),(295-532j),(-52-617j),(-224-601j),(-369-552j),(-523-462j),(-635-348j),(-722-201j),(-820-47j),(-849+130j),(-834+322j),(-757+488j),(-675+662j),(-531+798j),(-379+937j),(-194+987j),(37+1024j),(255+979j),(462+840j),(632+671j),(727+367j),(512-21j),(5+10j),(-121+501j),(172+731j),(172+731j),(579+546j),(702+428j),(752+275j),(746+141j),(747-4j),(660-117j),(614-209j),(552-280j),(486-372j),(398-433j),(302-476j),(208-465j),(109-474j),(12-489j),(-77-464j),(-184-428j),(-280-374j),(-375-285j),(-462-176j),(-493-10j),(-473+172j),(-356+337j),(-144+467j),(-31+465j),(10277+0j),(-11264-32640j),(128+0j),(20+17j)
