mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
d83add07f794,1717568255.838128,(-30+28j),(-13+13j),(2+16j),(5-13j),(-480-394j),(-606-192j),(-653+38j),(-553+359j),(-320+558j),(-61+639j),(186+633j),(400+539j),(577+396j),(686+204j),(733+3j),(695-193j),(658-410j),(551-587j),(399-731j),(206-828j),(-7-875j),(-245-880j),(-453-827j),(-633-697j),(-754-526j),(-858-344j),(-904-136j),(-892+95j),(-840+321j),(-648+502j),(-370+611j),(-14+489j),(5+10j),(-479-121j),(-660+179j),(-611+428j),(-493+634j),(-307+696j),(-127+744j),(33+736j),(186+685j),(330+633j),(433+535j),(510+420j),(529+266j),(549+143j),(542+21j),(524-99j),(468-215j),(361-281j),(297-375j),(187-431j),(60-467j),(-79-448j),(-208-392j),(-329-294j),(-426-139j),(-464+81j),(-364+309j),(-207+400j),(10277+0j),(-10496-32640j),(128+0j),(20+17j)
d83add07f794,1717568255.940341,(-30+28j),(-13+13j),(2+16j),(5-13j),(486-356j),(322-525j),(116-620j),(-219-595j),(-487-425j),(-623-189j),(-656+58j),(-609+260j),(-505+444j),(-354+596j),(-176+688j),(43+730j),(232+724j),(429+654j),(625+558j),(770+390j),(869+198j),(890-3j),(889-216j),(813-417j),(717-622j),(558-752j),(373-867j),(148-912j),(-76-873j),(-317-781j),(-510-535j),(-447-149j),(5+10j),(244-413j),(16-709j),(-256-742j),(-438-637j),(-610-516j),(-705-355j),(-744-193j),(-751-31j),(-679+106j),(-630+234j),(-541+336j),(-438+450j),(-438+450j),(-187+535j),(-88+517j),(36+497j),(168+458j),(235+404j),(327+322j),(403+223j),(455+83j),(467-84j),(409-245j),(279-392j),(88-465j),(-152-444j),(-279-325j),(10277+0j),(-10496-32640j),(128+0j),(20+17j)
d83add07f794,1717568256.042595,(-30+28j),(-13+13j),(2+16j),(5-13j),(575-310j),(464-444j),(330-548j),(51-648j),(-200-600j),(-420-489j),(-555-331j),(-640-145j),(-679+35j),(-670+210j),(-610+372j),(-513+488j),(-401+655j),(-261+747j),(-127+811j),(44+841j),(203+842j),(404+792j),(561+741j),(678+616j),(762+507j),(835+360j),(877+213j),(885+29j),(858-172j),(733-329j),(519-471j),(163-449j),(5+10j),(380+306j),(638+155j),(741-41j),(739-243j),(668-354j),(668-354j),(488-542j),(383-587j),(253-650j),(145-655j),(38-646j),(-45-582j),(-134-547j),(-208-504j),(-291-435j),(-360-364j),(-370-274j),(-435-195j),(-454-98j),(-462+8j),(-441+128j),(-396+223j),(-305+329j),(-170+428j),(34+472j),(253+406j),(355+347j),(10277+0j),(-10496-32640j),(128+0j),(20+17j)
d83add07f794,1717568256.147073,(-30+28j),(-13+13j),(2+16j),(5-13j),(-529-226j),(-605-7j),(-591+230j),(-362+538j),(-54+645j),(276+601j),(508+421j),(639+171j),(665-99j),(597-349j),(446-546j),(253-675j),(1-754j),(-255-731j),(-494-674j),(-707-491j),(-858-250j),(-887+52j),(-860+333j),(-712+567j),(-557+761j),(-288+886j),(-22+931j),(270+871j),(528+687j),(686+466j),(721+118j),(429-209j),(5+10j),(190+452j),(552+410j),(760+170j),(757-137j),(714-347j),(560-538j),(368-662j),(169-717j),(-72-692j),(-243-621j),(-387-517j),(-479-392j),(-553-239j),(-578-56j),(-508+118j),(-428+260j),(-340+350j),(-196+428j),(-31+461j),(123+439j),(269+373j),(401+250j),(466+64j),(453-161j),(293-372j),(30-469j),(-125-420j),(10277+0j),(-10496-32640j),(128+0j),(20+17j)
d83add07f794,1717568256.247568,(-30+28j),(-13+13j),(2+16j),(5-13j),(186-620j),(11-646j),(-167-622j),(-430-474j),(-599-234j),(-633+11j),(-611+226j),(-532+393j),(-414+538j),(-269+645j),(-112+708j),(86+722j),(258+726j),(422+667j),(595+577j),(713+448j),(795+301j),(891+175j),(916+8j),(920-186j),(837-362j),(772-513j),(660-648j),(504-742j),(344-829j),(86-825j),(-156-699j),(-288-374j),(5+10j),(449-157j),(464-513j),(317-682j),(182-777j),(-11-769j),(-164-757j),(-286-695j),(-387-627j),(-444-554j),(-536-462j),(-576-345j),(-592-192j),(-594-85j),(-557+21j),(-552+82j),(-488+174j),(-411+279j),(-360+336j),(-279+405j),(-178+459j),(-40+474j),(106+455j),(254+396j),(387+278j),(475+111j),(475-113j),(434-209j),(10277+0j),(-10496-32640j),(128+0j),(20+17j)
d83add07f794,1717568256.313115,(-30+28j),(-13+13j),(2+16j),(5-13j),(5-13j),(638+150j),(627-113j),(475-434j),(191-609j),(-101-634j),(-351-551j),(-524-401j),(-646-209j),(-698+25j),(-669+235j),(-560+458j),(-439+626j),(-243+747j),(-11+829j),(228+816j),(454+744j),(639+637j),(798+458j),(898+231j),(936-30j),(893-258j),(795-483j),(624-662j),(416-778j),(114-821j),(-189-696j),(-324-342j),(5+10j),(395-268j),(274-632j),(20-760j),(-187-757j),(-414-667j),(-571-526j),(-658-375j),(-716-199j),(-700-55j),(-682+117j),(-611+262j),(-481+400j),(-357+484j),(-212+526j),(-107+536j),(39+521j),(198+456j),(285+403j),(383+300j),(455+172j),(478+0j),(441-179j),(342-338j),(168-459j),(-51-492j),(-302-390j),(-447-266j),(10277+0j),(-10496-32640j),(128+0j),(20+17j)
d83add07f794,1717568256.332767,(-30+28j),(-13+13j),(2+16j),(5-13j),(-660+71j),(-560+316j),(-396+498j),(-74+628j),(248+600j),(478+430j),(624+222j),(656+5j),(636-213j),(550-420j),(403-575j),(211-704j),(24-752j),(-192-757j),(-432-716j),(-618-597j),(-765-423j),(-862-238j),(-902-18j),(-900+213j),(-815+446j),(-702+621j),(-516+784j),(-293+871j),(-63+877j),(213+805j),(438+588j),(424+193j),(5+10j),(-277+379j),(-70+696j),(202+729j),(400+660j),(578+522j),(691+364j),(730+205j),(740+18j),(672-115j),(621-254j),(528-359j),(401-479j),(276-535j),(132-549j),(26-530j),(-97-486j),(-238-440j),(-299-366j),(-383-266j),(-447-135j),(-462+15j),(-443+190j),(-333+339j),(-172+449j),(37+477j),(273+387j),(402+239j),(10277+0j),(-10496-32640j),(128+0j),(20+17j)
d83add07f794,1717568256.349621,(-30+28j),(-13+13j),(2+16j),(5-13j),(-520-279j),(-583-127j),(-607+32j),(-537+319j),(-367+516j),(-149+622j),(73+634j),(252+592j),(416+504j),(550+391j),(643+254j),(704+94j),(733-92j),(713-261j),(706-425j),(617-579j),(510-713j),(333-798j),(182-877j),(15-891j),(-140-917j),(-311-861j),(-448-797j),(-590-674j),(-698-473j),(-766-284j),(-710-31j),(-411+199j),(5+10j),(-66-464j),(-362-572j),(-578-488j),(-683-306j),(-748-191j),(-760-56j),(-730+89j),(-700+191j),(-596+309j),(-525+393j),(-432+456j),(-354+500j),(-258+540j),(-157+551j),(-35+520j),(65+499j),(136+470j),(227+412j),(310+347j),(376+267j),(437+153j),(482+37j),(462-119j),(400-287j),(234-418j),(12-480j),(-99-463j),(10277+0j),(-10496-32640j),(128+0j),(20+17j)
d83add07f794,1717568256.452677,(-30+28j),(-13+13j),(2+16j),(5-13j),(-415-498j),(-574-294j),(-642-63j),(-584+282j),(-381+509j),(-122+623j),(128+633j),(347+562j),(534+429j),(654+253j),(718+44j),(694-166j),(659-390j),(546-576j),(383-720j),(183-819j),(-24-853j),(-255-865j),(-467-789j),(-649-661j),(-755-466j),(-851-277j),(-881-81j),(-860+148j),(-788+374j),(-568+548j),(-289+622j),(36+465j),(5+10j),(-466-65j),(-609+240j),(-528+481j),(-402+657j),(-205+699j),(-38+719j),(134+714j),(264+641j),(400+578j),(502+467j),(568+328j),(567+167j),(574+32j),(535-84j),(510-204j),(421-308j),(303-372j),(211-441j),(87-478j),(-53-485j),(-211-433j),(-324-329j),(-426-195j),(-472+5j),(-443+234j),(-265+433j),(-75+497j),(10277+0j),(-10496-32640j),(128+0j),(20+17j)
d83add07f794,1717568256.554993,(-30+28j),(-13+13j),(2+16j),(5-13j),(151-545j),(-77-579j),(-299-528j),(-534-314j),(-630-42j),(-597+235j),(-471+437j),(-289+575j),(-90+651j),(113+659j),(309+614j),(475+522j),(637+373j),(728+199j),(816+21j),(812-193j),(769-392j),(628-583j),(487-736j),(304-820j),(134-901j),(-77-899j),(-267-849j),(-460-739j),(-615-548j),(-707-349j),(-681-68j),(-404+189j),(5+10j),(-98-435j),(-404-502j),(-613-379j),(-699-168j),(-744-20j),(-722+142j),(-652+295j),(-577+404j),(-423+502j),(-309+566j),(-176+594j),(-64+607j),(63+587j),(180+542j),(285+436j),(374+341j),(424+255j),(459+128j),(468+7j),(451-127j),(389-256j),(305-380j),(146-460j),(-55-494j),(-268-400j),(-441-206j),(-461-19j),(10277+0j),(-10752-32640j),(128+0j),(20+17j)
d83add07f794,1717568256.659439,(-30+28j),(-13+13j),(2+16j),(5-13j),(-225-501j),(-410-413j),(-552-270j),(-620+49j),(-550+309j),(-370+511j),(-168+617j),(62+635j),(269+596j),(431+507j),(574+375j),(657+228j),(735+19j),(735-172j),(722-342j),(636-520j),(511-675j),(308-799j),(131-870j),(-64-877j),(-224-854j),(-412-776j),(-560-671j),(-694-507j),(-779-287j),(-771-74j),(-654+174j),(-310+316j),(5+10j),(-229-384j),(-534-351j),(-685-175j),(-726+49j),(-702+180j),(-637+324j),(-545+442j),(-439+522j),(-285+600j),(-166+626j),(-35+620j),(62+590j),(171+549j),(272+480j),(367+370j),(424+269j),(447+179j),(469+50j),(461-67j),(416-188j),(345-302j),(254-393j),(102-453j),(-86-467j),(-294-369j),(-438-175j),(-433-17j),(10277+0j),(-10752-32640j),(128+0j),(20+17j)
d83add07f794,1717568256.762005,(-30+28j),(-13+13j),(2+16j),(5-13j),(-616+183j),(-507+357j),(-369+488j),(-113+610j),(126+621j),(333+534j),(492+414j),(582+257j),(645+106j),(664-43j),(655-189j),(625-325j),(555-472j),(471-585j),(396-699j),(275-780j),(133-839j),(-35-855j),(-175-855j),(-317-814j),(-423-789j),(-539-710j),(-642-609j),(-721-482j),(-767-297j),(-767-135j),(-672+74j),(-365+242j),(5+10j),(-89-437j),(-360-532j),(-538-461j),(-643-312j),(-683-235j),(-710-126j),(-702-18j),(-681+72j),(-620+185j),(-576+252j),(-511+314j),(-472+353j),(-403+399j),(-319+442j),(-222+452j),(-140+459j),(-72+466j),(18+452j),(105+434j),(185+406j),(276+345j),(358+289j),(429+171j),(470+22j),(425-162j),(314-337j),(206-437j),(10277+0j),(-10752-32640j),(128+0j),(20+17j)
d83add07f794,1717568256.861027,(-30+28j),(-13+13j),(2+16j),(5-13j),(-584-17j),(-593+169j),(-540+354j),(-309+574j),(-32+632j),(224+592j),(429+487j),(572+322j),(669+143j),(696-50j),(669-236j),(583-401j),(494-580j),(344-704j),(185-788j),(-1-827j),(-185-829j),(-393-798j),(-566-727j),(-711-581j),(-793-414j),(-869-238j),(-888-64j),(-854+130j),(-802+342j),(-614+502j),(-358+581j),(-27+464j),(5+10j),(-444-155j),(-640+97j),(-643+319j),(-578+520j),(-422+603j),(-287+677j),(-146+705j),(-10+699j),(129+694j),(259+644j),(350+558j),(414+425j),(464+328j),(497+226j),(528+123j),(528+0j),(461-101j),(444-215j),(378-312j),(282-394j),(152-443j),(18-453j),(-138-434j),(-300-345j),(-446-178j),(-475+58j),(-408+177j),(10277+0j),(-10496-32640j),(128+0j),(20+17j)
d83add07f794,1717568256.964407,(-30+28j),(-13+13j),(2+16j),(5-13j),(524+336j),(617+116j),(623-111j),(479-416j),(216-565j),(-42-612j),(-262-549j),(-449-439j),(-590-278j),(-656-87j),(-667+103j),(-596+291j),(-540+473j),(-405+620j),(-237+724j),(-47+782j),(150+788j),(354+763j),(542+683j),(684+530j),(777+348j),(844+158j),(838-43j),(788-248j),(702-430j),(491-569j),(221-617j),(-69-443j),(5+10j),(455+25j),(563-280j),(479-512j),(342-658j),(150-710j),(-29-711j),(-184-672j),(-320-598j),(-427-522j),(-508-410j),(-567-279j),(-559-122j),(-542+2j),(-504+115j),(-470+214j),(-388+310j),(-268+360j),(-189+430j),(-63+458j),(70+451j),(203+397j),(307+299j),(398+168j),(436-10j),(406-216j),(246-398j),(73-438j),(10277+0j),(-10752-32640j),(128+0j),(20+17j)
