mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
d83add07f794,1717569073.977456,(-30+28j),(-13+13j),(2+16j),(5-13j),(-388+402j),(-260+513j),(-100+585j),(198+566j),(435+408j),(565+203j),(598-4j),(595-184j),(517-369j),(415-510j),(273-618j),(93-666j),(-67-715j),(-244-705j),(-431-653j),(-592-556j),(-724-418j),(-811-269j),(-874-97j),(-876+91j),(-828+292j),(-750+449j),(-634+592j),(-483+704j),(-321+757j),(-73+759j),(165+644j),(280+336j),(5+10j),(-402+179j),(-386+498j),(-229+654j),(-82+707j),(99+697j),(242+654j),(350+589j),(450+503j),(500+420j),(555+314j),(570+201j),(574+53j),(552-57j),(493-154j),(443-213j),(375-288j),(264-350j),(206-385j),(110-416j),(4-429j),(-118-401j),(-239-340j),(-335-238j),(-407-95j),(-425+72j),(-340+268j),(-249+310j),(10277+0j),(-11520-32640j),(128+0j),(20+17j)
d83add07f794,1717569074.079475,(-30+28j),(-13+13j),(2+16j),(5-13j),(-525+91j),(-384+410j),(-73+589j),(383+463j),(606+89j),(517-324j),(205-596j),(-194-606j),(-518-399j),(-670-49j),(-604+334j),(-341+623j),(75+738j),(473+613j),(744+316j),(826-113j),(681-520j),(309-828j),(-152-892j),(-577-705j),(-835-347j),(-898+110j),(-728+513j),(-357+792j),(137+841j),(521+584j),(664+135j),(364-256j),(5+10j),(361+266j),(629-75j),(514-475j),(162-717j),(-185-687j),(-488-511j),(-665-201j),(-664+122j),(-493+437j),(-220+603j),(100+603j),(334+457j),(485+242j),(514-19j),(412-271j),(212-421j),(-6-439j),(-232-367j),(-372-200j),(-417+31j),(-323+256j),(-148+394j),(126+399j),(358+220j),(406-99j),(208-357j),(-44-377j),(10277+0j),(-11264-32640j),(128+0j),(20+17j)
d83add07f794,1717569074.182042,(-30+28j),(-13+13j),(2+16j),(5-13j),(-537+298j),(-370+480j),(-158+583j),(170+594j),(447+459j),(606+220j),(653-33j),(597-253j),(499-455j),(329-606j),(145-693j),(-79-731j),(-286-703j),(-484-621j),(-683-507j),(-811-320j),(-895-99j),(-887+135j),(-848+355j),(-728+558j),(-595+748j),(-389+855j),(-170+919j),(63+905j),(289+797j),(484+661j),(604+378j),(450+16j),(5+10j),(-112+438j),(162+651j),(416+613j),(567+454j),(693+311j),(742+133j),(720-38j),(689-191j),(572-307j),(479-416j),(363-485j),(239-556j),(107-569j),(-31-546j),(-31-546j),(-227-406j),(-323-332j),(-365-233j),(-398-120j),(-416-5j),(-386+120j),(-338+257j),(-218+363j),(-52+423j),(128+386j),(307+267j),(378+109j),(10277+0j),(-11264-32640j),(128+0j),(20+17j)
d83add07f794,1717569074.284316,(-30+28j),(-13+13j),(2+16j),(5-13j),(-227-586j),(-481-416j),(-624-147j),(-578+303j),(-272+590j),(114+642j),(436+507j),(648+245j),(705-83j),(603-407j),(376-648j),(42-753j),(-286-748j),(-592-583j),(-822-293j),(-899+69j),(-813+434j),(-610+728j),(-289+928j),(94+976j),(490+854j),(778+609j),(940+256j),(940-137j),(793-459j),(456-728j),(20-742j),(-276-402j),(5+10j),(375-314j),(135-707j),(-251-748j),(-544-601j),(-755-311j),(-809+5j),(-727+296j),(-549+536j),(-334+658j),(-65+719j),(189+653j),(421+484j),(540+275j),(571+43j),(526-126j),(414-299j),(223-419j),(73-468j),(-125-446j),(-295-351j),(-411-170j),(-430+58j),(-346+264j),(-148+414j),(99+435j),(342+274j),(397+116j),(10277+0j),(-11264-32640j),(128+0j),(20+17j)
d83add07f794,1717569074.388893,(-30+28j),(-13+13j),(2+16j),(5-13j),(365+455j),(599+97j),(530-336j),(62-641j),(-463-455j),(-661+24j),(-464+478j),(-53+685j),(413+573j),(711+189j),(683-304j),(353-682j),(-130-794j),(-607-579j),(-881-93j),(-787+464j),(-373+865j),(198+931j),(723+673j),(970+131j),(877-479j),(451-865j),(-127-979j),(-670-691j),(-902-182j),(-768+417j),(-244+720j),(246+430j),(5+10j),(-245+435j),(273+664j),(720+346j),(796-139j),(552-606j),(97-803j),(-349-706j),(-670-378j),(-719+33j),(-571+415j),(-229+627j),(186+612j),(473+387j),(572+51j),(473-236j),(244-443j),(-76-465j),(-297-354j),(-442-102j),(-415+183j),(-194+398j),(124+428j),(374+236j),(436-100j),(242-385j),(-143-427j),(-338-214j),(10277+0j),(-11264-32640j),(128+0j),(20+17j)
d83add07f794,1717569074.489295,(-30+28j),(-13+13j),(2+16j),(5-13j),(-565+260j),(-472+399j),(-353+509j),(-84+626j),(167+605j),(390+504j),(542+364j),(634+184j),(696-10j),(690-181j),(644-355j),(557-482j),(450-659j),(309-772j),(171-845j),(-8-892j),(-182-900j),(-401-869j),(-568-800j),(-702-687j),(-781-562j),(-882-413j),(-920-248j),(-941-59j),(-921+154j),(-792+316j),(-573+476j),(-195+466j),(5+10j),(-386-347j),(-685-217j),(-804-12j),(-832+216j),(-758+342j),(-679+472j),(-583+579j),(-471+637j),(-328+725j),(-203+748j),(-78+740j),(32+678j),(144+639j),(242+574j),(341+501j),(413+398j),(432+301j),(499+196j),(513+83j),(508-39j),(469-165j),(409-268j),(299-376j),(146-455j),(-65-488j),(-279-393j),(-371-321j),(10277+0j),(-11264-32640j),(128+0j),(20+17j)
d83add07f794,1717569074.591476,(-30+28j),(-13+13j),(2+16j),(5-13j),(339+527j),(530+391j),(662+198j),(696-161j),(555-440j),(338-645j),(76-726j),(-188-718j),(-421-644j),(-615-501j),(-754-330j),(-820-126j),(-879+128j),(-844+361j),(-783+561j),(-640+764j),(-460+920j),(-208+1036j),(35+1096j),(285+1050j),(479+977j),(677+834j),(842+669j),(952+441j),(1018+154j),(939-99j),(736-362j),(302-458j),(5+10j),(376+415j),(718+289j),(862+39j),(867-238j),(798-403j),(669-554j),(522-670j),(373-745j),(373-745j),(8-795j),(-148-745j),(-247-654j),(-362-564j),(-450-450j),(-522-304j),(-547-168j),(-522-56j),(-520+87j),(-464+209j),(-384+315j),(-274+398j),(-157+454j),(16+475j),(199+433j),(383+286j),(468+53j),(418-106j),(10277+0j),(-11008-32640j),(128+0j),(20+17j)
d83add07f794,1717569074.694198,(-30+28j),(-13+13j),(2+16j),(5-13j),(-648+59j),(-595+299j),(-461+503j),(-150+676j),(188+669j),(451+528j),(627+340j),(727+128j),(757-109j),(709-340j),(601-547j),(410-716j),(224-845j),(5-907j),(-261-917j),(-501-853j),(-709-721j),(-890-570j),(-1011-361j),(-1081-111j),(-1058+161j),(-1001+397j),(-883+603j),(-697+778j),(-491+904j),(-162+938j),(161+810j),(335+433j),(5+10j),(-503+220j),(-469+646j),(-246+832j),(-39+914j),(212+881j),(407+807j),(558+692j),(684+552j),(743+411j),(800+235j),(796+53j),(727-153j),(646-303j),(526-412j),(427-478j),(280-532j),(102-548j),(3-547j),(-130-510j),(-260-452j),(-379-327j),(-449-177j),(-479-5j),(-437+183j),(-337+343j),(-125+460j),(47+428j),(10277+0j),(-11008-32640j),(128+0j),(20+17j)
d83add07f794,1717569074.795509,(-30+28j),(-13+13j),(2+16j),(5-13j),(-223-436j),(-409-278j),(-498-58j),(-454+256j),(-253+457j),(18+532j),(268+480j),(462+308j),(573+85j),(580-150j),(493-375j),(335-524j),(108-659j),(-142-677j),(-375-635j),(-600-480j),(-753-255j),(-816+55j),(-778+336j),(-623+577j),(-428+742j),(-154+837j),(122+840j),(408+729j),(640+507j),(722+233j),(655-97j),(311-312j),(5+10j),(319+318j),(610+140j),(679-154j),(578-444j),(416-586j),(191-690j),(-38-700j),(-252-641j),(-459-494j),(-570-323j),(-617-123j),(-589+59j),(-519+234j),(-383+375j),(-197+458j),(-27+477j),(105+420j),(253+340j),(352+219j),(392+66j),(376-89j),(305-223j),(170-322j),(-4-361j),(-208-287j),(-332-108j),(-332+74j),(10277+0j),(-10752-32640j),(128+0j),(20+17j)
d83add07f794,1717569074.898088,(-30+28j),(-13+13j),(2+16j),(5-13j),(-436-38j),(-442+133j),(-385+301j),(-151+476j),(101+503j),(333+401j),(483+226j),(539+5j),(506-212j),(408-394j),(259-528j),(83-600j),(-149-624j),(-350-558j),(-532-462j),(-673-286j),(-758-68j),(-759+192j),(-678+420j),(-533+611j),(-356+742j),(-119+813j),(113+811j),(351+721j),(568+530j),(661+300j),(632+1j),(339-238j),(5+10j),(201+372j),(512+317j),(660+95j),(668-164j),(611-339j),(480-499j),(316-605j),(138-660j),(-75-644j),(-250-587j),(-382-482j),(-474-355j),(-534-196j),(-544-36j),(-501+136j),(-410+271j),(-310+362j),(-156+426j),(-6+444j),(148+409j),(287+326j),(383+200j),(428+17j),(387-183j),(226-359j),(-18-409j),(-154-360j),(10277+0j),(-10752-32640j),(128+0j),(20+17j)
