mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
d83add07f794,1717568813.381008,(-30+28j),(-13+13j),(2+16j),(5-13j),(376-449j),(171-549j),(-45-572j),(-341-458j),(-517-251j),(-573+3j),(-535+234j),(-421+413j),(-248+552j),(-59+619j),(138+629j),(327+577j),(533+459j),(676+294j),(778+110j),(805-125j),(764-359j),(642-604j),(464-779j),(231-887j),(6-918j),(-267-882j),(-475-776j),(-672-592j),(-815-323j),(-798-42j),(-643+238j),(-265+372j),(5+10j),(-330-312j),(-603-142j),(-662+101j),(-606+346j),(-476+452j),(-333+547j),(-153+608j),(-41+586j),(132+551j),(245+480j),(335+394j),(366+297j),(409+195j),(425+89j),(411-42j),(364-148j),(305-211j),(223-297j),(126-341j),(9-355j),(-98-337j),(-206-281j),(-296-177j),(-346-25j),(-299+155j),(-172+284j),(-59+352j),(10277+0j),(-10752-32640j),(128+0j),(20+17j)
d83add07f794,1717568813.483345,(-30+28j),(-13+13j),(2+16j),(5-13j),(678-271j),(501-546j),(241-726j),(-165-753j),(-509-598j),(-706-332j),(-788-46j),(-762+211j),(-680+449j),(-530+655j),(-331+805j),(-90+900j),(149+934j),(409+895j),(689+813j),(908+631j),(1083+383j),(1157+108j),(1185-184j),(1120-481j),(986-771j),(768-971j),(491-1140j),(166-1211j),(-153-1133j),(-471-982j),(-702-632j),(-581-121j),(5+10j),(219-541j),(-116-843j),(-442-801j),(-626-618j),(-782-437j),(-831-226j),(-786-45j),(-763+131j),(-640+242j),(-555+343j),(-447+405j),(-332+485j),(-212+517j),(-96+514j),(-13+457j),(85+427j),(200+385j),(239+324j),(306+249j),(358+159j),(393+30j),(391-104j),(324-231j),(214-343j),(70-379j),(-124-360j),(-268-254j),(10277+0j),(-11008-32640j),(128+0j),(20+17j)
d83add07f794,1717568813.585822,(-30+28j),(-13+13j),(2+16j),(5-13j),(-743+325j),(-409+679j),(52+791j),(574+541j),(792+38j),(636-451j),(287-748j),(-158-788j),(-542-619j),(-803-257j),(-860+167j),(-671+612j),(-308+892j),(159+966j),(648+825j),(987+452j),(1111-52j),(1005-554j),(653-958j),(139-1184j),(-424-1122j),(-861-806j),(-1154-321j),(-1144+241j),(-835+726j),(-315+1000j),(275+858j),(492+283j),(5+10j),(-158+529j),(360+735j),(758+438j),(859+17j),(759-403j),(484-673j),(162-749j),(-191-724j),(-396-524j),(-565-291j),(-589-36j),(-522+227j),(-358+401j),(-142+471j),(26+448j),(196+363j),(351+222j),(377+67j),(357-102j),(266-258j),(76-359j),(-116-351j),(-287-224j),(-366-14j),(-298+190j),(-105+337j),(103+370j),(10277+0j),(-11008-32640j),(128+0j),(20+17j)
d83add07f794,1717568813.688023,(-30+28j),(-13+13j),(2+16j),(5-13j),(290+594j),(476+490j),(622+340j),(712-7j),(659-317j),(482-539j),(273-693j),(54-739j),(-180-736j),(-391-677j),(-558-575j),(-723-438j),(-845-247j),(-913-35j),(-973+184j),(-932+415j),(-833+640j),(-678+840j),(-486+987j),(-254+1088j),(-34+1136j),(219+1097j),(450+1036j),(654+886j),(837+644j),(916+389j),(857+38j),(484-258j),(5+10j),(128+525j),(497+598j),(710+430j),(810+196j),(818+39j),(783-131j),(683-286j),(622-368j),(470-454j),(470-454j),(261-523j),(182-534j),(86-531j),(-15-506j),(-106-442j),(-180-387j),(-241-355j),(-281-269j),(-334-188j),(-362-107j),(-388-8j),(-385+97j),(-333+212j),(-236+319j),(-76+368j),(103+363j),(160+289j),(10277+0j),(-11008-32640j),(128+0j),(20+17j)
d83add07f794,1717568813.790561,(-30+28j),(-13+13j),(2+16j),(5-13j),(-718-127j),(-751+118j),(-703+350j),(-436+658j),(-105+756j),(208+737j),(463+624j),(648+449j),(789+230j),(846-13j),(842-244j),(742-455j),(653-688j),(468-864j),(254-985j),(13-1050j),(-251-1049j),(-520-1013j),(-753-886j),(-946-691j),(-1053-440j),(-1145-200j),(-1119+74j),(-1046+332j),(-924+576j),(-640+733j),(-288+790j),(85+555j),(5+10j),(-554-54j),(-681+302j),(-589+545j),(-453+724j),(-247+753j),(-68+756j),(75+753j),(203+665j),(308+625j),(399+539j),(457+438j),(478+300j),(497+201j),(498+102j),(521+6j),(492-100j),(406-181j),(378-285j),(292-365j),(183-428j),(58-433j),(-78-425j),(-220-371j),(-345-262j),(-451-91j),(-437+145j),(-337+234j),(10277+0j),(-11008-32640j),(128+0j),(20+17j)
d83add07f794,1717568813.892906,(-30+28j),(-13+13j),(2+16j),(5-13j),(-62-796j),(-372-687j),(-609-485j),(-769-91j),(-724+265j),(-531+548j),(-286+727j),(-6+792j),(286+776j),(529+665j),(728+490j),(846+260j),(955-8j),(944-289j),(861-558j),(700-799j),(458-985j),(176-1153j),(-131-1176j),(-446-1118j),(-699-940j),(-947-724j),(-1075-456j),(-1131-135j),(-1120+204j),(-896+496j),(-543+694j),(-67+591j),(5+10j),(-561-158j),(-766+210j),(-683+510j),(-521+746j),(-283+798j),(-63+816j),(138+793j),(285+685j),(445+598j),(540+461j),(590+320j),(562+157j),(548+25j),(506-89j),(472-215j),(374-311j),(266-338j),(162-408j),(39-433j),(-84-419j),(-184-359j),(-288-271j),(-364-143j),(-390+18j),(-348+210j),(-186+357j),(-25+440j),(10277+0j),(-11008-32640j),(128+0j),(20+17j)
d83add07f794,1717568813.995215,(-30+28j),(-13+13j),(2+16j),(5-13j),(385+418j),(487+281j),(551+131j),(552-136j),(455-356j),(299-495j),(126-568j),(-24-588j),(-176-574j),(-323-532j),(-454-462j),(-566-358j),(-658-232j),(-722-95j),(-788+62j),(-785+230j),(-762+398j),(-670+546j),(-570+684j),(-436+794j),(-296+894j),(-116+911j),(52+937j),(245+888j),(407+763j),(566+605j),(645+340j),(460+7j),(5+10j),(-140+433j),(92+655j),(318+648j),(455+528j),(563+441j),(614+320j),(614+190j),(624+94j),(559-14j),(523-95j),(465-165j),(420-236j),(357-279j),(287-308j),(211-300j),(147-313j),(86-331j),(40-309j),(-22-299j),(-84-287j),(-163-259j),(-223-212j),(-273-133j),(-304-34j),(-281+72j),(-219+183j),(-183+229j),(10277+0j),(-10752-32640j),(128+0j),(20+17j)
d83add07f794,1717568814.097939,(-30+28j),(-13+13j),(2+16j),(5-13j),(-174-539j),(-359-462j),(-504-335j),(-613-36j),(-578+232j),(-431+436j),(-246+576j),(-49+629j),(151+622j),(339+566j),(486+468j),(607+336j),(712+162j),(753-29j),(776-213j),(724-406j),(626-585j),(468-746j),(283-857j),(77-904j),(-111-909j),(-330-842j),(-492-755j),(-641-595j),(-758-366j),(-773-142j),(-665+124j),(-325+291j),(5+10j),(-204-381j),(-493-360j),(-634-188j),(-670+35j),(-636+157j),(-570+282j),(-455+393j),(-373+445j),(-231+488j),(-129+497j),(-23+481j),(40+450j),(118+411j),(180+355j),(243+273j),(275+204j),(287+154j),(298+66j),(303-5j),(284-74j),(262-143j),(208-213j),(121-275j),(12-306j),(-124-258j),(-228-165j),(-228-65j),(10277+0j),(-10752-32640j),(128+0j),(20+17j)
d83add07f794,1717568814.202419,(20+17j),(-13+13j),(2+16j),(5-13j),(734-11j),(709-252j),(608-469j),(303-709j),(-46-741j),(-335-667j),(-548-506j),(-690-308j),(-794-101j),(-812+132j),(-770+352j),(-646+549j),(-521+756j),(-329+907j),(-99+1001j),(149+1036j),(399+1003j),(648+924j),(879+777j),(1042+560j),(1131+291j),(1193+31j),(1139-240j),(1017-504j),(853-732j),(527-874j),(147-870j),(-184-564j),(5+10j),(583-58j),(649-464j),(492-714j),(306-848j),(63-850j),(-127-814j),(-270-764j),(-401-633j),(-490-551j),(-561-419j),(-599-283j),(-567-116j),(-545-3j),(-495+94j),(-466+172j),(-393+250j),(-272+292j),(-226+354j),(-133+378j),(-30+392j),(84+355j),(173+300j),(260+222j),(317+109j),(360-26j),(301-193j),(200-227j),(10277+0j),(-11008-32640j),(128+0j),(20+17j)
d83add07f794,1717568814.304850,(-30+28j),(-13+13j),(2+16j),(5-13j),(-481-570j),(-641-404j),(-744-210j),(-757+182j),(-614+480j),(-386+679j),(-139+773j),(100+786j),(333+738j),(528+638j),(692+500j),(811+332j),(913+116j),(954-99j),(980-316j),(919-539j),(802-762j),(594-934j),(400-1081j),(164-1134j),(-44-1183j),(-302-1127j),(-520-1033j),(-728-874j),(-881-611j),(-949-361j),(-883-12j),(-496+274j),(5+10j),(-135-542j),(-504-620j),(-739-466j),(-832-212j),(-861-62j),(-825+107j),(-732+272j),(-661+364j),(-509+472j),(-401+517j),(-279+534j),(-204+554j),(-100+547j),(4+518j),(99+437j),(171+382j),(217+346j),(263+266j),(298+192j),(329+121j),(361+43j),(360-49j),(326-151j),(259-254j),(121-317j),(-38-334j),(-84-292j),(10277+0j),(-11008-32640j),(128+0j),(20+17j)
